second, CPU_Usage, Miss_Count, QoS
0, 88.2442, -nan, -nan
1, 100, -nan, -nan
2, 98.8636, -nan, -nan
3, 98.9583, -nan, -nan
4, 100, -nan, -nan
5, 100, -nan, -nan
6, 100, -nan, -nan
7, 98.9583, -nan, -nan
8, 98.8636, -nan, -nan
9, 100, -nan, -nan
10, 98.9583, -nan, -nan
11, 98.8636, -nan, -nan
12, 98.8636, -nan, -nan
13, 100, -nan, -nan
14, 100, -nan, -nan
15, 98.9583, -nan, -nan
16, 98.8636, -nan, -nan
17, 100, -nan, -nan
18, 98.9583, -nan, -nan
19, 98.8636, -nan, -nan
20, 100, -nan, -nan
21, 100, -nan, -nan
22, 98.8636, -nan, -nan
23, 100, -nan, -nan
24, 100, -nan, -nan
25, 98.9583, -nan, -nan
26, 100, -nan, -nan
27, 98.9583, -nan, -nan
28, 98.8636, -nan, -nan
29, 97.9167, -nan, -nan
30, 100, -nan, -nan
31, 98.9583, -nan, -nan
32, 98.8636, -nan, -nan
33, 98.9583, -nan, -nan
34, 98.9583, -nan, -nan
35, 100, -nan, -nan
36, 98.9583, -nan, -nan
37, 98.9583, -nan, -nan
38, 100, -nan, -nan
39, 98.8636, -nan, -nan
40, 100, -nan, -nan
41, 100, -nan, -nan
42, 97.7273, -nan, -nan
43, 100, -nan, -nan
44, 100, -nan, -nan
45, 98.8636, -nan, -nan
46, 98.9583, -nan, -nan
47, 98.9583, -nan, -nan
48, 98.8636, -nan, -nan
49, 100, -nan, -nan
50, 100, -nan, -nan
51, 97.9167, -nan, -nan
52, 100, -nan, -nan
53, 100, -nan, -nan
54, 97.9167, -nan, -nan
55, 100, -nan, -nan
56, 98.9583, -nan, -nan
57, 98.9583, -nan, -nan
58, 98.8636, -nan, -nan
59, 100, -nan, -nan
60, 100, -nan, -nan
61, 98.9583, -nan, -nan
62, 100, -nan, -nan
63, 100, -nan, -nan
64, 98.8636, -nan, -nan
65, 98.9583, -nan, -nan
66, 98.8636, -nan, -nan
67, 98.9583, -nan, -nan
68, 100, -nan, -nan
69, 100, -nan, -nan
70, 98.9583, -nan, -nan
71, 100, -nan, -nan
72, 98.75, -nan, -nan
73, 100, -nan, -nan
74, 100, -nan, -nan
75, 98.8636, -nan, -nan
76, 100, -nan, -nan
77, 100, -nan, -nan
78, 100, -nan, -nan
79, 98.9583, -nan, -nan
80, 98.9583, -nan, -nan
81, 100, -nan, -nan
82, 98.8636, -nan, -nan
83, 100, -nan, -nan
84, 97.9167, -nan, -nan
85, 98.9583, -nan, -nan
86, 98.8636, -nan, -nan
87, 100, -nan, -nan
88, 100, -nan, -nan
89, 97.9167, -nan, -nan
90, 100, -nan, -nan
91, 100, -nan, -nan
92, 100, -nan, -nan
93, 98.9583, -nan, -nan
94, 98.8636, -nan, -nan
95, 98.9583, -nan, -nan
96, 98.9583, -nan, -nan
97, 100, -nan, -nan
98, 97.9167, -nan, -nan
99, 98.9583, -nan, -nan
